,Date Created,User,Tweet
0,2023-01-07 05:39:32+00:00,PUANnews,Emak-Emak di Garut Dukung @PuanMaharani_RI [#PuanMaharani]Maju Pilpres 2024 - Okezone Foto https://t.co/vNDyfhU9vw
1,2023-01-06 03:23:36+00:00,puanpresiden24,@perem_puan2024 @puanmaharani_ri Siap dukung
2,2023-01-05 13:38:45+00:00,perem_puan2024,@ArahanRudi @puanmaharani_ri banyak salah satunya saya yang dukung sampe jadi presidn
3,2023-01-04 10:38:02+00:00,n_alfarez,"@Mike_pndj @riyadie93 @Outstandjing 2024 masih lumayan lama, gak usah buru² dukung anies, Ganjar, RK, prabowo, Erick Thohir, cak Imin terlebih puan.... 
Lihat dulu profilnya visi misinya ya walaupun visi misi itu hanya template 😂
Minimal jgn jadi fans buta dulu lah"
4,2023-01-04 08:29:02+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
5,2023-01-04 05:46:02+00:00,PUANnews,"Tolak Pilih Anies dan Dukung @PuanMaharani_RI [#PuanMaharani]Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWZM8 https://t.co/QOSUi0z5pg"
6,2023-01-04 05:44:53+00:00,PUANnews,"#Tolak Pilih Anies dan Dukung Puan Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWrWA 
#PuanMaharani

https://t.co/t3wKAagXqc"
7,2023-01-03 23:43:10+00:00,artisindo8,"@PertamaPpratama @puanmaharani_ri Mari kita dukung orang baik di politik dan penentu keputusan nomor 1 di republik , InsyaAllah Mbak Puan Presiden 2024🙌"
8,2023-01-03 19:58:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
9,2023-01-03 10:23:24+00:00,SuherlanElan9,@VIVAcoid Terlalu percaya diri dukung Puan lihatnya aja nanti di 2024  PDIP boncosss.
10,2023-01-03 07:29:00+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
11,2023-01-02 18:58:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
12,2023-01-02 16:14:07+00:00,SuherlanElan9,@puanmaharani_ri Saya tidak akan lagi coblos PDIP di 2024 jika Puan jadi capres PDIP. Saya akan coblos partai yg dukung Ganjar jadi Presiden di 2024.
13,2023-01-02 16:11:07+00:00,SuherlanElan9,@puanmaharani_ri Saya dari dulu coblos PDIP tapi mohon maaf kalo Puan jadi capres PDIP di 2024 saya tidak akan coblos PDIP saya akan coblos partai yg dukung Ganjar.
14,2023-01-02 11:28:18+00:00,SuherlanElan9,@ruhutsitompul Bang saya simpatisan PDIP tp saya ga setuju Puan jadi capres di 2024.Kalo PDIP tetap nekat mencalonkan Puan saya akan coblos partai yg dukung Ganjar.
15,2023-01-02 06:29:01+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
16,2023-01-02 06:02:05+00:00,perem_puan2024,resolusi 2023 dukung puan sampe jadi presiden 2024 https://t.co/YS93GFpX1B
17,2023-01-01 17:58:53+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
18,2023-01-01 15:29:44+00:00,ervin_larasati,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/Yn7z4Y7jrn"
19,2023-01-01 05:29:01+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
