,Tweet,Label
0,"Tolak Pilih Anies dan Dukung @PuanMaharani_RI [#PuanMaharani]Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWZM8 https://t.co/QOSUi0z5pg",1
1,"#Tolak Pilih Anies dan Dukung Puan Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWrWA 
#PuanMaharani

https://t.co/t3wKAagXqc",1
2,"@democrazymedia Ini acara relawan pendukung JOKOWI.

Menolak lupa!!
Pda Periode#1 Jokowi memerintah menteri2 kabinet sering di usir/tolak saat dengar pendpat dg DPR pdhl kursi PDIP mayoritas di parlemen.

Silahkan PDIP calonkan PUAN utk 2024

Kami tetap 1 komando.
#KamiBersamaJokowi",1
3,"PADA AKHIRNYA SECARA ALAMI ""SAMPAH"" AKAN MEMISAHKAN DIRI KARENA TERTIUP ANGIN.. ALAM PUN TAK MAU SAMPAH2 MENYATU DENGANYA..TINGGAL TUGAS MANUSIA YG PUNYA AKAL NALAR, HARUS DIAPAKAN SAMPAH2 TERSEBUT??!!. 

#TOLAKNASDEM2024
#TOLAKDEMOKRAT2024
#TOLAKPKS2024
#TOLAKPUAN2024 https://t.co/drR93KnjyU",1
4,@cnbcindonesia Gubernur dki jkt ora bcus krja dicapreskan jdi ri 1 di thn 2024 nkri ancur rakyatnya trsungkur masyarakatnya babak belur lbih baik bu puan maharani undur diri yg maju prabowo subianto dg pa btp agar nkri bsa byar utang ke LN jika pa jokowi tolak maju di pemilu 2024 shg nkri baik2,1
5,"Surya Paloh ngapain peluk @puanmaharani_ri kalau Nasdem tidak capreskan Puan? 
Tidak sopan?

Tolak Anies Baswedan Capres 2024
Tolak Anies Baswedan Capres 2024
https://t.co/SFxLquToBq",1
6,"@kentarockers Utk 2024 . Yg sekarang ini ya perjuangkan utk tolak kenaikan BBM. Jd mau nya gmn, calon sp yg mau di dukung? Puan Maharani yg Uda pasti lolos ambang batas,. Atau Ganjar, yg dibelakang nya pasukan abu janda,.Denny Siregar CS. Atau pak Prabowo, yg meninggalkan para pendukung nya.",1
7,"@rn88910 @VeelaaRhie Dari RAKYAT .. oleh RAKYAT  .. untuk RAKYAT .. itu ada pada PAKDE  JOKOWI dan GANJAR PRANOWO ..â¤ð¹â¤ Puan Maharani dari elite ""POLITIK"" .. Prabowo dan AHY dari elite ""MILITER"" .. Anus bas edan dari minoritas ""ARAB""..! ð¡  TOLAK !!!  ke empat orang tsb dalam PILPRES tahun 2024 â¤",1
8,"@imanlagi @thisissxxt Satu Kata Tolak Puan!
2024
Bila Penting Ikut Partainya.
Kita Pemilih Dari Mulai PDI Ke PDIP, Walau Ada Sdr Jauh Ada Disana - PDI Red DR P Siregar Yg Jadi Menteri.
Mantap
God Bless MR GP 2024 https://t.co/fdyKHwhxR6",1
9,"@puanmaharani_ri Dear Bu Puan, kami pemilih PDIP akan bangga bila Bu Puan berani tolak bisikan oposisi utk maju capres dan legowo usung Pak #GanjarPranowo capres PDIP 2024 , hatur huwun Bu Puan ð @PDI_Perjuangan @ganjar_center",1
